# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
B6002	金属与非金属矿产资源地质勘 探	119其他开采专业及辅助性活动；7471能源矿产地质勘查； 7472固体矿产地质勘查；7473水、二氧化碳等矿产地质勘 查；7474基础地质勘查；111煤炭开采和洗选专业及辅助性活 动； 海洋石油天然气企业安全生产	金属与非金属矿产资源地质勘 探 119其他开采专业及辅助性活动；7471能源矿产地质勘查； 7472固体矿产地质勘查；7473水、二氧化碳等矿产地质勘 查；7474基础地质勘查；111煤炭开采和洗选专业及辅助性活 动； 海洋石油天然气企业安全生产许可;除 涉煤中央企业总部（总公司、集团公 司）外的煤矿企业及煤矿安全生产许 可;涉煤中央企业（总公司、集团公 司）煤矿安全生产许可;非煤矿矿山企 业安全生产许可证核发; 海洋石油天然气企业安全生产许可除 涉煤中央企业总部（总公司、集团公 司）外的煤矿企业及煤矿安全生产许 可涉煤中央企业（总公司、集团公 司）煤矿安全生产许可非煤矿矿山企 业安全生产许可证核发 海洋石油天然气发证检验 机构资质认定；煤矿建设 、非煤矿矿山建设、金属 冶炼建设等项目的安全设 施设计审查；非煤矿矿山 企业（另有规定的除外） 《金属与非金属矿产资源地质勘探安全生产监督管理暂行规定》（国家安全生产监督管理总局令 第35号）第七条 从事钻探工程、坑探工程施工的地质勘探单位应当取得安全生产许可证。第十六 条 地质勘探单位不得将其承担的地质勘探工程项目转包给不具备安全生产条件或者相应地质勘查 资质的地质勘探单位，不得允许其他单位以本单位的名义从事地质勘探活动。第十七条 地质勘探 单位不得以探矿名义从事非法采矿活动。
B7001	深海海底区域资源勘探开发	1200其他采矿业 深海海底区域资源勘探开发	深海海底区域资源勘探开发 1200其他采矿业 深海海底区域资源勘探开发许可; 深海海底区域资源勘探开发许可 海底电缆管道铺设路由调 查勘测、铺设施工审批 《外资负面清单》禁止投资稀土、放射性矿产、钨勘查、开采及选矿。
C1001	家禽屠宰	1352禽类屠宰； 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所	家禽屠宰 1352禽类屠宰； 兴办动物饲养场（养殖小区）和隔离场 所，动物屠宰加工场所，以及动物和动 物产品无害化处理场所审批（不含市区 饲养家畜家禽）;动物防疫条件合格证 核发; 兴办动物饲养场（养殖小区）和隔离 场所，动物屠宰加工场所，以及动物 和动物产品无害化处理场所审批（不 含市区饲养家畜家禽）动物防疫条件 合格证核发 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物 和动物产品无害化处理场 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）；
C1002	牲畜屠宰	1351牲畜屠宰 动物防疫条件合格证	牲畜屠宰 1351牲畜屠宰 动物防疫条件合格证核发;兴办动物饲 养场（养殖小区）和隔离场所，动物屠 宰加工场所，以及动物和动物产品无害 化处理场所审批（不含市区饲养家畜家 禽）; 动物防疫条件合格证核发兴办动物饲 养场（养殖小区）和隔离场所，动物 屠宰加工场所，以及动物和动物产品 无害化处理场所审批（不含市区饲养 家畜家禽） 跨省引进乳用动物、种用 动物及其精液、胚胎、种 蛋检疫审批；设立动物饲 养场（养殖小区）和隔离 场所，设立动物屠宰加工 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
C1003	生猪屠宰	1351牲畜屠宰 生猪定点屠宰厂（场）设置审查;动物 防疫条件合格证	生猪屠宰 1351牲畜屠宰 生猪定点屠宰厂（场）设置审查;动物 防疫条件合格证核发; 生猪定点屠宰厂（场）设置审查动物 防疫条件合格证核发 设立动物饲养场（养殖小 区）和隔离场所，设立动 物屠宰加工场所、生猪定 点屠宰厂（场）以及动物 和动物产品无害化处理场 《外资负面清单》禁止投资中国稀有和特有的珍贵优良品种的研发、养殖、种植以及相关繁殖材料 的生产（包括种植业、畜牧业、水产业的优良基因）。
C1004	食用农产品初加工	131谷物磨制；1361水产品冷冻加工；137蔬菜、菌类、水果 和坚果加工	食用农产品初加工 131谷物磨制；1361水产品冷冻加工；137蔬菜、菌类、水果 和坚果加工
C1005	食品生产	1331食用植物油加工；1340制糖业；1353肉制品及副产品加 工；1362鱼糜制品及水产品干腌制加工；1363鱼油提取及制 品制造；1369其他水产品加工；137蔬菜、菌类、水果和坚果 加工；1391淀粉及淀粉制品制造；1392豆制品制造；1393蛋 品加工；1399其他未列明农副食品加工；141焙烤食品制造； 142糖果、巧克力及蜜饯制造；143方便食品制造；144乳制品 制造；145罐头食品制造；146调味品、发酵制品制造；1491 营养食品制造；1492保健食品制造；1493冷冻饮品及食用冰 制造；1499其他未列明食品制造；15酒、饮料和精制茶制造 食品生产	食品生产 1331食用植物油加工；1340制糖业；1353肉制品及副产品加 工；1362鱼糜制品及水产品干腌制加工；1363鱼油提取及制 品制造；1369其他水产品加工；137蔬菜、菌类、水果和坚果 加工；1391淀粉及淀粉制品制造；1392豆制品制造；1393蛋 品加工；1399其他未列明农副食品加工；141焙烤食品制造； 142糖果、巧克力及蜜饯制造；143方便食品制造；144乳制品 制造；145罐头食品制造；146调味品、发酵制品制造；1491 营养食品制造；1492保健食品制造；1493冷冻饮品及食用冰 制造；1499其他未列明食品制造；15酒、饮料和精制茶制造 食品生产许可; 食品生产许可;出口食品生产企业备案 核准（自贸区适用） 出口食品生产企 业备案核准;出 口食品生产企业 备案核准（自贸 区适用）; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 经营许可
C1006	粮食加工食品生产	1331食用植物油加工；1340制糖业；1353肉制品及副产品加 工；1362鱼糜制品及水产品干腌制加工；1363鱼油提取及制 品制造；1369其他水产品加工；137蔬菜、菌类、水果和坚果 加工；1391淀粉及淀粉制品制造；1392豆制品制造；1393蛋 品加工；1399其他未列明农副食品加工；141焙烤食品制造； 142糖果、巧克力及蜜饯制造；143方便食品制造；144乳制品 制造；145罐头食品制造；146调味品、发酵制品制造；1491 营养食品制造；1492保健食品制造；1493冷冻饮品及食用冰 制造；1499其他未列明食品制造；15酒、饮料和精制茶制造 食品生产	粮食加工食品生产 1331食用植物油加工；1340制糖业；1353肉制品及副产品加 工；1362鱼糜制品及水产品干腌制加工；1363鱼油提取及制 品制造；1369其他水产品加工；137蔬菜、菌类、水果和坚果 加工；1391淀粉及淀粉制品制造；1392豆制品制造；1393蛋 品加工；1399其他未列明农副食品加工；141焙烤食品制造； 142糖果、巧克力及蜜饯制造；143方便食品制造；144乳制品 制造；145罐头食品制造；146调味品、发酵制品制造；1491 营养食品制造；1492保健食品制造；1493冷冻饮品及食用冰 制造；1499其他未列明食品制造；15酒、饮料和精制茶制造 食品生产许可; 食品生产许可;出口食品生产企业备案 核准（自贸区适用） 出口食品生产企 业备案核准;出 口食品生产企业 备案核准（自贸 区适用）; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 经营许可
C1007	非食用植物油加工	1332非食用植物油加工	非食用植物油加工 1332非食用植物油加工
C1008	饲料生产	1321宠物饲料加工；1329其他饲料加工 从事饲料、饲料添加剂生产的企业审 批; 从事饲料、饲料添加剂生产的企业审 批 饲料、饲料添加剂（含新 饲料、新饲料添加剂）生	饲料生产 1321宠物饲料加工；1329其他饲料加工 从事饲料、饲料添加剂生产的企业审 批; 从事饲料、饲料添加剂生产的企业审 批 饲料、饲料添加剂（含新 饲料、新饲料添加剂）生
C1009	农业转基因生物产品加工	131谷物磨制；1361水产品冷冻加工；137蔬菜、菌类、水果 和坚果加工 农业转基因生物加工	农业转基因生物产品加工 131谷物磨制；1361水产品冷冻加工；137蔬菜、菌类、水果 和坚果加工 农业转基因生物加工审批; 农业转基因生物加工审批 农业转基因生物生产与加 工许可； 《外资负面清单》禁止投资农作物、种畜禽、水产苗种转基因品种选育及其转基因种子（苗）生产 。
C1011	豆制品制造	1392豆制品制造 食品生产	豆制品制造 1392豆制品制造 食品生产许可; 食品生产许可; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼
C1013	蔬菜、水果和坚果加工	137蔬菜、菌类、水果和坚果加工	蔬菜、水果和坚果加工 137蔬菜、菌类、水果和坚果加工
C1014	鱼糜制品及水产品干腌制加工 （冷冻海水鱼糜生产线除外)	1362鱼糜制品及水产品干腌制加工	鱼糜制品及水产品干腌制加工 （冷冻海水鱼糜生产线除外) 1362鱼糜制品及水产品干腌制加工
C1015	水产品冷冻加工	1361水产品冷冻加工 C1016 肉制品及副产品加工(3000吨/ 年及以下的西式肉制品加工项 目除外） 1353肉制品及副产品加工	水产品冷冻加工 1361水产品冷冻加工 C1016 肉制品及副产品加工(3000吨/ 年及以下的西式肉制品加工项 目除外） 1353肉制品及副产品加工
C1018	动物肠衣加工	1362鱼糜制品及水产品干腌制加工；1353肉制品及副产品加 工；1361水产品冷冻加工	动物肠衣加工 1362鱼糜制品及水产品干腌制加工；1353肉制品及副产品加 工；1361水产品冷冻加工
